[1677845233.0130446][1234290][Stabilizer]: {'stabilizer.roll': -0.2748873829841614, 'stabilizer.pitch': -0.7692410349845886, 'stabilizer.yaw': 0.06439188867807388, 'stateEstimateZ.x': -355, 'stateEstimateZ.y': 220, 'stateEstimateZ.z': 13}
[1677845233.0215585][1234300][Stabilizer]: {'stabilizer.roll': -0.3477109372615814, 'stabilizer.pitch': -0.7593100070953369, 'stabilizer.yaw': 0.06715395301580429, 'stateEstimateZ.x': -355, 'stateEstimateZ.y': 222, 'stateEstimateZ.z': 13}
[1677845233.0326307][1234310][Stabilizer]: {'stabilizer.roll': -0.29318782687187195, 'stabilizer.pitch': -0.7782259583473206, 'stabilizer.yaw': 0.0657171979546547, 'stateEstimateZ.x': -355, 'stateEstimateZ.y': 221, 'stateEstimateZ.z': 13}
[1677845233.0450704][1234320][Stabilizer]: {'stabilizer.roll': -0.26729312539100647, 'stabilizer.pitch': -0.741320788860321, 'stabilizer.yaw': 0.06558982282876968, 'stateEstimateZ.x': -356, 'stateEstimateZ.y': 220, 'stateEstimateZ.z': 12}
[1677845233.0531747][1234330][Stabilizer]: {'stabilizer.roll': -0.2779501974582672, 'stabilizer.pitch': -0.78617924451828, 'stabilizer.yaw': 0.0652298629283905, 'stateEstimateZ.x': -354, 'stateEstimateZ.y': 220, 'stateEstimateZ.z': 12}
[1677845233.0632632][1234340][Stabilizer]: {'stabilizer.roll': -0.3140663504600525, 'stabilizer.pitch': -0.7032408118247986, 'stabilizer.yaw': 0.06869255006313324, 'stateEstimateZ.x': -356, 'stateEstimateZ.y': 221, 'stateEstimateZ.z': 12}
[1677845233.0729446][1234350][Stabilizer]: {'stabilizer.roll': -0.31389620900154114, 'stabilizer.pitch': -0.7502315640449524, 'stabilizer.yaw': 0.06773843616247177, 'stateEstimateZ.x': -355, 'stateEstimateZ.y': 221, 'stateEstimateZ.z': 12}
[1677845233.0825539][1234360][Stabilizer]: {'stabilizer.roll': -0.2869786024093628, 'stabilizer.pitch': -0.7851888537406921, 'stabilizer.yaw': 0.06661459058523178, 'stateEstimateZ.x': -354, 'stateEstimateZ.y': 221, 'stateEstimateZ.z': 12}
[1677845233.0928214][1234370][Stabilizer]: {'stabilizer.roll': -0.3153190016746521, 'stabilizer.pitch': -0.7400730848312378, 'stabilizer.yaw': 0.06698925793170929, 'stateEstimateZ.x': -356, 'stateEstimateZ.y': 221, 'stateEstimateZ.z': 12}
[1677845233.1024418][1234380][Stabilizer]: {'stabilizer.roll': -0.3616780638694763, 'stabilizer.pitch': -0.7046100497245789, 'stabilizer.yaw': 0.06977973878383636, 'stateEstimateZ.x': -356, 'stateEstimateZ.y': 222, 'stateEstimateZ.z': 12}
[1677845233.116101][1234390][Stabilizer]: {'stabilizer.roll': -0.3576958477497101, 'stabilizer.pitch': -0.7341225743293762, 'stabilizer.yaw': 0.06927753239870071, 'stateEstimateZ.x': -356, 'stateEstimateZ.y': 222, 'stateEstimateZ.z': 12}
[1677845233.125318][1234400][Stabilizer]: {'stabilizer.roll': -0.3371390998363495, 'stabilizer.pitch': -0.7076939940452576, 'stabilizer.yaw': 0.06884293258190155, 'stateEstimateZ.x': -356, 'stateEstimateZ.y': 222, 'stateEstimateZ.z': 12}
[1677845233.1337552][1234410][Stabilizer]: {'stabilizer.roll': -0.2715039551258087, 'stabilizer.pitch': -0.7554954290390015, 'stabilizer.yaw': 0.06607752293348312, 'stateEstimateZ.x': -355, 'stateEstimateZ.y': 220, 'stateEstimateZ.z': 12}
[1677845233.1429043][1234420][Stabilizer]: {'stabilizer.roll': -0.26424434781074524, 'stabilizer.pitch': -0.7561015486717224, 'stabilizer.yaw': 0.06569460034370422, 'stateEstimateZ.x': -355, 'stateEstimateZ.y': 220, 'stateEstimateZ.z': 12}
[1677845233.1550841][1234430][Stabilizer]: {'stabilizer.roll': -0.34826505184173584, 'stabilizer.pitch': -0.746476411819458, 'stabilizer.yaw': 0.06790754944086075, 'stateEstimateZ.x': -356, 'stateEstimateZ.y': 222, 'stateEstimateZ.z': 12}
[1677845233.16347][1234440][Stabilizer]: {'stabilizer.roll': -0.3277532756328583, 'stabilizer.pitch': -0.7192171216011047, 'stabilizer.yaw': 0.06840600818395615, 'stateEstimateZ.x': -356, 'stateEstimateZ.y': 222, 'stateEstimateZ.z': 12}
[1677845233.1736193][1234450][Stabilizer]: {'stabilizer.roll': -0.31710249185562134, 'stabilizer.pitch': -0.7582049369812012, 'stabilizer.yaw': 0.0665297880768776, 'stateEstimateZ.x': -355, 'stateEstimateZ.y': 221, 'stateEstimateZ.z': 12}
[1677845233.1826415][1234460][Stabilizer]: {'stabilizer.roll': -0.26341575384140015, 'stabilizer.pitch': -0.7947370409965515, 'stabilizer.yaw': 0.06292229890823364, 'stateEstimateZ.x': -354, 'stateEstimateZ.y': 220, 'stateEstimateZ.z': 12}
[1677845233.19611][1234470][Stabilizer]: {'stabilizer.roll': -0.3025429844856262, 'stabilizer.pitch': -0.7732130289077759, 'stabilizer.yaw': 0.06472541391849518, 'stateEstimateZ.x': -355, 'stateEstimateZ.y': 221, 'stateEstimateZ.z': 12}
[1677845233.204152][1234480][Stabilizer]: {'stabilizer.roll': -0.2666279673576355, 'stabilizer.pitch': -0.7809269428253174, 'stabilizer.yaw': 0.06380195915699005, 'stateEstimateZ.x': -355, 'stateEstimateZ.y': 220, 'stateEstimateZ.z': 12}
[1677845233.2138324][1234490][Stabilizer]: {'stabilizer.roll': -0.2659473419189453, 'stabilizer.pitch': -0.7792477607727051, 'stabilizer.yaw': 0.0637420266866684, 'stateEstimateZ.x': -355, 'stateEstimateZ.y': 220, 'stateEstimateZ.z': 12}
[1677845233.2239158][1234500][Stabilizer]: {'stabilizer.roll': -0.27764609456062317, 'stabilizer.pitch': -0.7930765151977539, 'stabilizer.yaw': 0.06288951635360718, 'stateEstimateZ.x': -354, 'stateEstimateZ.y': 220, 'stateEstimateZ.z': 13}
