[1678712673.3217103][135417][Stabilizer]: {'stabilizer.roll': -12.985091209411621, 'stabilizer.pitch': -79.76618194580078, 'stabilizer.yaw': -7.208525657653809, 'stateEstimateZ.x': -9912, 'stateEstimateZ.y': -159, 'stateEstimateZ.z': 82}
[1678712673.3309662][135427][Stabilizer]: {'stabilizer.roll': -12.90086555480957, 'stabilizer.pitch': -79.70116424560547, 'stabilizer.yaw': -7.128855228424072, 'stateEstimateZ.x': -9945, 'stateEstimateZ.y': -162, 'stateEstimateZ.z': 81}
[1678712673.3419542][135437][Stabilizer]: {'stabilizer.roll': -12.849664688110352, 'stabilizer.pitch': -79.65797424316406, 'stabilizer.yaw': -7.078360080718994, 'stateEstimateZ.x': -9975, 'stateEstimateZ.y': -166, 'stateEstimateZ.z': 79}
[1678712673.3508573][135447][Stabilizer]: {'stabilizer.roll': -13.065701484680176, 'stabilizer.pitch': -79.80606079101562, 'stabilizer.yaw': -7.27894401550293, 'stateEstimateZ.x': -10002, 'stateEstimateZ.y': -173, 'stateEstimateZ.z': 85}
[1678712673.3630655][135457][Stabilizer]: {'stabilizer.roll': -12.993767738342285, 'stabilizer.pitch': -79.73552703857422, 'stabilizer.yaw': -7.209560394287109, 'stateEstimateZ.x': -10035, 'stateEstimateZ.y': -176, 'stateEstimateZ.z': 84}
[1678712673.372667][135467][Stabilizer]: {'stabilizer.roll': -12.899567604064941, 'stabilizer.pitch': -79.66461181640625, 'stabilizer.yaw': -7.119314193725586, 'stateEstimateZ.x': -10068, 'stateEstimateZ.y': -180, 'stateEstimateZ.z': 83}
[1678712673.3818343][135477][Stabilizer]: {'stabilizer.roll': -12.898423194885254, 'stabilizer.pitch': -79.66986083984375, 'stabilizer.yaw': -7.124910831451416, 'stateEstimateZ.x': -10094, 'stateEstimateZ.y': -182, 'stateEstimateZ.z': 82}
[1678712673.39286][135487][Stabilizer]: {'stabilizer.roll': -13.025280952453613, 'stabilizer.pitch': -79.73506927490234, 'stabilizer.yaw': -7.242930889129639, 'stateEstimateZ.x': -10123, 'stateEstimateZ.y': -190, 'stateEstimateZ.z': 86}
[1678712673.4008532][135497][Stabilizer]: {'stabilizer.roll': -12.93856143951416, 'stabilizer.pitch': -79.6680908203125, 'stabilizer.yaw': -7.166739463806152, 'stateEstimateZ.x': -10156, 'stateEstimateZ.y': -194, 'stateEstimateZ.z': 85}
[1678712673.410762][135507][Stabilizer]: {'stabilizer.roll': -12.901338577270508, 'stabilizer.pitch': -79.63763427734375, 'stabilizer.yaw': -7.1335248947143555, 'stateEstimateZ.x': -10186, 'stateEstimateZ.y': -197, 'stateEstimateZ.z': 83}
[1678712673.4214606][135517][Stabilizer]: {'stabilizer.roll': -12.81219482421875, 'stabilizer.pitch': -79.56669616699219, 'stabilizer.yaw': -7.048671722412109, 'stateEstimateZ.x': -10220, 'stateEstimateZ.y': -201, 'stateEstimateZ.z': 82}
[1678712673.4331648][135527][Stabilizer]: {'stabilizer.roll': -12.721001625061035, 'stabilizer.pitch': -79.49372100830078, 'stabilizer.yaw': -6.962347507476807, 'stateEstimateZ.x': -10253, 'stateEstimateZ.y': -204, 'stateEstimateZ.z': 81}
[1678712673.4405248][135537][Stabilizer]: {'stabilizer.roll': -12.836679458618164, 'stabilizer.pitch': -79.71641540527344, 'stabilizer.yaw': -7.107391834259033, 'stateEstimateZ.x': -10272, 'stateEstimateZ.y': -196, 'stateEstimateZ.z': 86}
[1678712673.4532533][135547][Stabilizer]: {'stabilizer.roll': -12.75084114074707, 'stabilizer.pitch': -79.64378356933594, 'stabilizer.yaw': -7.024603366851807, 'stateEstimateZ.x': -10305, 'stateEstimateZ.y': -200, 'stateEstimateZ.z': 85}
[1678712673.4612777][135557][Stabilizer]: {'stabilizer.roll': -12.662383079528809, 'stabilizer.pitch': -79.56694030761719, 'stabilizer.yaw': -6.93604040145874, 'stateEstimateZ.x': -10339, 'stateEstimateZ.y': -203, 'stateEstimateZ.z': 84}
[1678712673.4706147][135567][Stabilizer]: {'stabilizer.roll': -12.718579292297363, 'stabilizer.pitch': -79.58577728271484, 'stabilizer.yaw': -6.983832359313965, 'stateEstimateZ.x': -10364, 'stateEstimateZ.y': -208, 'stateEstimateZ.z': 83}
[1678712673.4823895][135577][Stabilizer]: {'stabilizer.roll': -12.834171295166016, 'stabilizer.pitch': -79.63587188720703, 'stabilizer.yaw': -7.083074569702148, 'stateEstimateZ.x': -10394, 'stateEstimateZ.y': -216, 'stateEstimateZ.z': 87}
